Name,Observed Fluorescence [au] (raw),Mean Fluorescence [au],Stddev Fluorescence [au],Mean Fluorescence [au] (WC corrected)
NP1,65.60105351109587,65.56991144186425,0.0440415366677195,4.245088437638643
,65.53876937263263,,,
NP2,65.51933384195182,66.506189203054,1.3956242357713105,5.1813661988284
,67.4930445641562,,,
J23100,762.6730880251331,745.3248230042254,24.534151676210378,683.9999999999998
,727.9765579833178,,,
WC,60.990964649523065,61.32482300422561,0.47214701313189755,0.0
,61.65868135892814,,,
