J23103,J23113,J23109,J23117,J23114,J23115,J23116,J23105,J23110,J23107,J23106,J23108,J23118,J23111,J23101,J23104,J23102,J23100
191.843719681624,164.248815576403,207.658231602103,580.947494435981,554.705551076905,647.899809037813,991.098856175483,744.837845908569,772.688337413336,1094.86936819507,703.252675936153,1776.61665144076,798.886439439826,1392.77552948488,2554.41661028057,1863.86508739133,1267.98437976703,947.502921673541
157.360845929475,143.173150516786,151.23396731807,476.525316110267,455.000220513337,531.443313322608,812.954183052408,610.957260977711,633.801776868118,898.07250530469,576.846800985378,1457.2793919294,655.290911375503,1142.43164109483,2095.27400384615,1528.8453921612,1040.07102737913,777.194382608085
166.801714089883,142.808865574772,160.307253232314,505.11446519574,482.297970912749,563.327269119706,861.727391008407,647.611658191104,671.826731423371,951.95238928084,611.454740239192,1544.70890802549,694.605107130286,1210.97185795849,2220.98002374837,1620.56851235534,1102.47011648512,823.822180379971
266.36933313628,228.054624598175,255.998185470624,806.628420971591,770.192258430761,899.589730427104,1376.11146108777,1034.1853287592,1072.85491284542,1520.19374916965,976.445549670815,2466.77969687228,1109.23020299207,1933.8276468633,3546.73194494907,2587.92157078873,1760.55882478864,1315.57979489611
212.509786482621,181.942264183007,204.235671928749,643.529161158304,614.460345200288,717.693809884698,1097.86344144366,825.074346248547,855.924988703437,1212.81247073204,779.009478415774,1967.99992142412,884.945240589394,1542.8101106476,2829.58717303469,2064.647059655,1404.57602810649,1049.57120259481
170.785515407607,146.219634762388,164.135944383073,517.178344053505,493.816913044376,576.781470890194,882.308418814677,663.078862418302,687.87227527482,974.688301819384,626.058392325049,1581.60189450868,711.194677304559,1239.89405045384,2274.02470133771,1659.27328832367,1128.80091246505,843.497900774541
140.065330679576,119.918257973817,134.611856699621,424.15046502792,404.991190591606,473.032430515409,723.602467971046,543.807007928025,564.140685301866,799.365443714705,513.44562527125,1297.10995589462,583.267951128485,1016.86709068959,1864.98264215328,1360.81014401114,925.756922057939,691.773023710721
250.27312616349,214.273704717447,240.528687801816,757.885354864011,723.650962349204,845.22918403439,1292.95558636865,971.691418878764,1008.0242713988,1428.3312478176,917.440748029028,2317.71675449213,1042.20146992581,1816.97001281393,3332.4094822589,2431.53824864612,1654.17150573089,1236.0817369983
195.873836312062,167.699238057174,188.247446080453,593.151626854928,566.358411384771,661.510428137538,1011.91915714394,760.484870448947,788.920425301972,1117.86960639021,718.026108756336,1813.93855243793,815.668878451961,1422.0339687664,2608.07798047941,1903.01984157382,1294.62129519233,967.407390208463
211.264904923419,180.876447058677,203.039260102623,639.759369664016,610.860838724554,713.489562146901,1091.43216138171,820.241063717817,850.91098322099,1205.70781967303,774.446043713895,1956.47138501531,879.761234576552,1533.77233460968,2813.01146162784,2052.55236466063,1396.34802682321,1043.42281829305
