Name,sfGFP/OD600,Error,Unnamed: 3
ML1118,41146.598048513246,107.97591907695096,
ML114,40623.8119940881,771.4134701028997,
ML1986,40047.8151101643,71.63881475040034,
ML1077,39531.456662048,154.28064657409777,
ML975,39175.852103988655,678.7990588020511,
ML2563,39075.20297112225,2301.1845162642494,
ML2719,39056.1823177912,30.488587061499857,
ML792,38063.93023139645,200.352367818552,
ML1142,37853.137229742744,4590.89946750498,
ML549,37806.16395894105,1223.93637550715,
ML1588,37619.50980810265,1176.0613504174507,
ML2558,36979.15590359915,644.1503294631511,
ML3147,36241.3157162173,291.5125666109998,
ML752,35471.62819964395,70.34409049464739,
ML277,35434.95075006535,1544.3187464795483,
ML2881,35327.45905624564,168.27894285705042,
ML1126,35191.56691595735,1085.5738500831503,
ML308,35125.21122417515,1671.3105149552503,
ML652,34512.744487935895,1265.0924859585975,
ML472,34313.40736870865,389.3567357972497,
ML2499,34069.18287248795,415.9235104907493,
ML653,33935.5968910254,2505.3552698251005,
ML405,33900.5040777852,79.77934796960108,
ML159,33669.4068356408,859.9713731441007,
ML563,33636.21173222395,827.992554141747,
ML2591,33365.38504540125,759.4895784703494,
ML168,33357.4360475561,862.2716374980992,
ML2030,33354.373607850255,829.2998615375509,
ML297,33130.7463049493,714.6037472972985,
ML2507,32907.057968226,539.3244607145989,
ML2487,32889.15761912785,1021.4263224779497,
ML1345,32619.203375326048,2352.663632346548,
ML2626,32368.3829761072,1280.9571801007005,
ML1568,32054.80493230765,390.2035279292486,
ML2599,32037.99905033505,634.9100792669506,
ML2330,31943.22867832655,468.18411504665164,
ML1993,31642.093724370752,1689.9651553845488,
ML597,31497.5685074254,510.14419443050065,
ML1270,31474.86840880255,993.8889597426496,
ML2825,31403.4380762139,40.938076213900786,
ML2527,31210.80126557045,438.9018726823506,
ML631,31176.29419829105,135.8152929318494,
ML1253,31011.06291094525,225.2252598226496,
ML1744,30868.929208889902,1168.3304064946988,
ML3612,30828.5307514188,27.073556519000704,
ML3164,30789.234524392603,390.21371655909934,
ML1073,30531.542055031598,869.4389382241006,
ML833,30378.5896330783,155.5081339706012,
ML3355,30335.499012753447,22.01938892894941,
ML1341,30284.0531529924,487.1550732286996,
ML2168,30148.752624884102,61.96381099790051,
ML2444,30103.526122267453,529.2639064957493,
ML427,30046.135322010297,1481.0985690541002,
ML1529,29803.36397730865,136.4916762599496,
ML2677,29798.25430485895,716.0189572896488,
ML323,29648.581279553502,1160.757241847301,
ML999,29647.91236336965,1072.7440761594498,
ML1267,29635.73220472035,1299.3327303445494,
ML2600,29614.64785214785,720.4170829170507,
ML389,29533.87611493125,253.61877677284974,
ML1516,29420.1785159524,494.2050456914003,
ML1826,29253.25523786885,110.52942771024937,
ML1522,29173.08165519295,429.0688824414501,
ML2290,29034.786264585302,574.9698329756993,
ML655,28927.42203037635,223.75943326205015,
ML452,28913.49184339455,416.22408383175025,
ML1768,28843.29291434705,615.0646861188507,
ML416,28693.37923884675,852.2738847880482,
ML1061,28640.09983471955,683.8498347195491,
ML483,28392.776107836602,2445.8362601874996,
ML1071,28203.13757802745,603.2624219725512,
ML2191,28130.33431326425,591.7389664497496,
ML1218,28098.48589236665,492.1898989079491,
ML314,28045.953586578253,288.8880423810497,
ML475,28041.28484038925,506.0989869067489,
ML2966,28029.5426601535,119.24201944380002,
ML2224,28014.7054470101,773.0387803434005,
ML2856,27905.2131566888,320.04281600739887,
ML2722,27858.09237079245,123.48388304585023,
ML3490,27797.871027064248,206.27619947805033,
ML281,27793.65988283125,919.3763520708508,
ML2857,27735.9731695874,1147.7009839493003,
ML1240,27729.88061379185,922.0014988431503,
ML1020,27579.1273552086,269.8053213102994,
ML2239,27468.792004620198,636.8667044867998,
ML3469,27242.331897262447,411.0233929804508,
PT7,27153.52060717905,2566.1882660981973,1 mM IPTG induced
ML2736,27121.0778526729,272.52790637860016,
ML126,27114.6022271677,65.57795301250007,
ML2474,27088.36161344595,267.44362999974874,
ML1906,27071.248148680897,359.6004214082004,
ML1124,27029.839026305453,771.49587750295,
ML1009,27013.96445395965,3.0144687569500093,
ML2613,27002.1160455625,892.9554965678999,
ML2244,26952.15143362275,589.6619466589491,
ML1257,26765.311520985902,179.77921889309982,
ML200,26762.8304741861,1034.339337134701,
ML3089,26745.09105891455,650.8661349023496,
ML2870,26723.6592281142,745.7485056106998,
ML2601,26707.128332162552,20.641845676049343,
ML2849,26683.7023305509,14.518040520699287,
ML2717,26636.146790469953,599.2693958339496,
ML1591,26629.2917164158,102.18489945389956,
ML3122,26582.4617666573,67.96454272150004,
ML164,26578.18022798935,523.4746183463503,
ML1434,26567.02480505275,519.2636110229487,
ML746,26491.79715864445,696.1411302756496,
ML1586,26435.35794619105,799.222438035451,
ML1627,26413.962377570948,146.98527240994918,
ML2581,26331.427561567398,648.0244932270998,
ML2425,26318.2702322103,38.614553016501304,
ML137,26266.91413068625,968.3799869608501,
ML1022,26263.70534821775,600.8811407249505,
ML1307,26225.44643776585,1902.1541170191504,
ML759,26172.53830569615,244.42671771334972,
ML1723,26025.97364141765,84.26257905474995,
ML1414,25965.558249108348,165.1518368256493,
ML2949,25941.5204870332,700.9163423195005,
ML2390,25927.57860895485,570.0224876866505,
ML2775,25894.24849818595,90.40623327184949,
ML536,25833.9804297501,239.4200249429996,
ML2623,25766.477969735148,965.1803217221513,
ML3268,25753.6372453928,613.1465318281989,
ML2044,25723.5116776475,923.3608480848998,
ML661,25655.199264407398,163.39598571889837,
ML15,25647.625695561648,733.6736365573506,
ML2986,25622.885504475897,521.5797863308999,
ML1449,25584.2119478233,388.89944782329985,
ML1320,25577.344956682202,96.9452641379994,
ML2595,25500.9953274759,832.2435503931993,
ML1021,25481.8456685163,540.7532015401994,
ML617,25432.779181802303,446.57116622549984,
ML658,25417.5981612561,393.8525490323009,
ML1116,25391.129951839903,99.5532779738005,
ML2943,25341.15407374545,398.71163130305104,
ML618,25305.548937114698,359.1909472784009,
ML1538,25292.8033866416,393.93226716840036,
ML728,25292.2329961465,411.53885297950006,
ML2866,25277.89131418465,1135.5668890758498,
ML2935,25263.115029358953,340.10212881794905,
ML2240,25236.54499137365,455.27890799745,
ML595,25213.735171254302,2767.561840333397,
ML1916,25073.65728984645,1523.2855902822503,
ML825,25063.675569737803,128.14744902450002,
ML1017,25034.40727258965,1061.71102685585,
ML2231,25032.8782600422,214.2956896794003,
ML243,25032.4461296358,1236.5277622888989,
ML1932,25009.34029855705,206.09955781634926,
ML2203,25006.840243609,624.8596032515998,
ML512,24994.00544533915,80.03435105145036,
ML732,24989.76237264695,79.62852943475082,
ML1882,24980.67441447635,152.69011523824884,
ML1308,24937.867772938247,1156.7518931099494,
ML782,24935.31157792675,183.78252593895013,
ML1785,24758.261794149148,206.45737040064887,
ML1555,24749.671406484747,248.22333035735028,
ML2590,24745.50029385835,1257.54848662945,
ML2747,24744.26559683535,629.0514166285502,
ML2276,24713.2342928658,649.7633652137993,
ML2772,24680.4895960742,1296.4482642717012,
ML2435,24606.5443261582,2033.0874143065012,
ML1064,24576.2268823333,821.1906212534996,
ML2593,24529.94554918565,882.8204082611501,
ML190,24515.9085899879,391.9825290662993,
ML714,24489.0328018735,330.6875807607994,
ML2560,24428.7594416164,217.6604209418001,
ML2693,24420.9907253467,517.0623719983996,
ML1776,24414.63256931625,169.41399008124972,
ML1680,24331.71606238405,656.2066429299484,
ML2895,24301.9237143367,208.51712093010065,
ML4,24277.733503192,292.5567643094,
ML2709,24192.07675645205,337.88916858304947,
ML3047,24176.953543020398,162.0467107222994,
ML2442,24170.9900480991,341.868507786201,
ML750,24146.22317682625,11.721637636150263,
ML2575,24069.99871266735,757.4987126673495,
ML2645,24056.6239526286,417.1927643905001,
ML892,24051.486293594753,1316.6219929684503,
ML2673,24015.3618319056,963.789504861601,
ML2880,24001.13538573205,423.00401078305003,
ML2705,23980.03832052915,406.46474695554934,
ML2646,23936.367831442898,588.8037932710995,
ML3001,23928.5489571051,945.5371517495005,
ML672,23923.9374518959,39.72338255899922,
ML269,23920.62334190485,220.34582109075018,
ML2861,23907.7572215066,429.9429240538011,
ML1601,23884.79036111525,369.33782248395073,
ML2714,23833.558222224303,108.77113123369963,
ML1348,23830.6666301521,22.575690666999435,
ML1053,23817.58935915395,832.7712554587488,
ML1590,23757.918797061102,807.4237475561004,
ML1304,23722.22837781885,198.16420669585023,
ML705,23719.4138018632,130.0029531739001,
ML1067,23709.7857384745,1592.9447720122007,
ML204,23671.3738081844,95.59451760750017,
ML919,23666.99416073585,122.16246577015045,
ML1879,23640.4396403563,335.6695746608002,
ML3628,23626.22401702125,226.69130674084954,
ML726,23610.8551061262,381.32220808499915,
ML3609,23601.410381542802,720.7027554370998,
ML1278,23578.84521027375,127.59943974165071,
ML154,23565.524414926702,159.74724848929873,
ML107,23544.84845001545,688.72819232035,
ML1313,23527.9944327609,52.48870524439917,
ML1344,23501.57198798445,461.4886980313495,
ML3246,23463.7588197563,175.4931418312499,
ML2720,23423.28895832655,168.28998904185028,
ML1331,23408.846432663748,249.69015270214913,
ML1821,23393.86724386725,41.053391053350424,
ML2456,23339.38791230695,341.71891463794964,
ML1580,23323.693226297954,811.21402496685,
ML2655,23286.73530536785,524.8775978579506,
ML1385,23272.83854043735,120.82661793364969,
ML1545,23181.218550591402,714.8853455125009,
ML869,23156.93301791145,462.53301791144986,
ML503,23142.794946090347,12.646675909150872,
ML325,23117.252728916,772.043458767299,
ML68,23099.8201566741,469.94049714960056,
ML1976,23098.1257375901,513.1922073093992,
ML2708,23077.1646090276,25.850466349300405,
ML2597,23007.9665610549,707.6875856554998,
ML291,23003.5300745571,4.944501714100625,
ML111,22983.042087592898,484.9845895353992,
ML1275,22941.2529212572,282.8850097772993,
ML1520,22930.89109864445,679.671586449349,
ML1691,22915.174949119697,449.0376301099004,
ML130,22885.94983337645,556.0908511569505,
ML2349,22846.397018800002,232.36193108069892,
ML828,22832.342689698147,136.66671816014968,
ML1092,22828.12910830045,514.9508137268494,
ML70,22818.71027104465,20.852171981749052,
ML3659,22810.08624583,494.0306200398991,
ML633,22793.583592094597,1604.0231525342008,
ML360,22774.59815546775,347.93148880105036,
ML840,22773.53762419415,208.57934052315068,
ML639,22748.964287622402,153.76345298490014,
ML1935,22727.14353293405,520.8227219620494,
ML781,22722.5182637979,823.5810269822014,
ML3030,22702.62938322345,365.20328044945023,
ML2930,22671.158913598898,299.2920972876,
ML87,22668.283084561852,841.7990662970496,
ML1668,22668.04005207975,1163.8511716532503,
ML167,22645.7751904545,229.94735289809978,
ML981,22635.22220637095,928.897848199349,
ML3004,22630.644123774648,217.55618921435052,
ML247,22630.2604818523,433.56930538170127,
ML1282,22590.42698230455,300.85699145364924,
ML2006,22589.529141073697,297.14490839099926,
ML2932,22586.8007598329,410.4651321698002,
ML979,22583.19263268265,1134.3999599099498,
ML976,22532.74375192235,764.2361138494489,
ML527,22500.14577898875,735.6265787348493,
ML53,22476.9843168138,963.5081592464012,
ML2206,22398.70660616355,59.883076751750195,
ML2994,22379.0702265458,298.9099059045002,
ML287,22341.2391628472,1504.9146833066006,
ML1114,22334.2661197385,85.8935609002001,
ML2019,22262.301522682552,19.271976282250762,
ML2337,22247.75474801055,111.54030599744874,
ML1827,22201.2676615615,501.4350411411997,
ML272,22188.807928149297,438.5880512802996,
ML2329,22157.5232959652,93.05141667850148,
ML134,22121.78617820725,197.6189209428503,
ML2615,22095.2048845289,120.20488452889913,
ML1583,22052.6536311006,1527.272019457001,
ML1045,22044.7547876405,228.84215113499886,
ML902,22039.6488002158,1109.231305186,
ML1293,22034.944943895098,356.13117159050125,
ML1479,21991.064406201,777.0927403485002,
ML2854,21956.840620126648,196.19153290555005,
ML1473,21955.142168963648,178.88256179024938,
ML196,21924.0257410897,589.448046269401,
ML1105,21912.3270708099,576.6671723326999,
ML602,21912.26222507745,387.52764183825093,
ML257,21909.95954594855,763.50984180655,
ML3080,21773.0548264226,511.6639391324006,
ML632,21759.769761334697,233.97045775759943,
ML1325,21748.268860908553,69.4367441202503,
ML1031,21730.13224276025,559.2315499196484,
ML3343,21716.2928950211,199.70521729599932,
ML3551,21688.1375692218,300.90352666860053,
ML2968,21671.3598901099,328.6401098901006,
ML1302,21657.293384009397,276.077914396099,
ML1632,21655.41950789705,106.92262757944991,
ML1539,21655.309236322297,1247.6914615143996,
ML2809,21650.438589006248,202.3866409543498,
ML1941,21639.4784071085,160.79519070269998,
ML933,21568.73230421565,1201.0518684462495,
ML1850,21551.51657390045,138.98393682475034,
ML83,21517.0310295134,216.77977323199957,
ML3266,21507.7708511138,222.99837965540064,
ML1115,21482.9771206504,501.4152985246001,
ML2773,21433.95416866275,234.32905151184968,
ML2029,21422.578211613298,168.07807314750062,
ML1837,21416.5709027868,551.2287394314008,
ML24,21391.48486871325,182.48410593674998,
ML742,21383.675232423702,589.3552856742008,
ML488,21381.58546001705,316.52774753015,
ML2480,21311.451342607048,545.6111222213494,
ML2839,21305.3302085211,457.7849888829005,
ML1129,21271.31712626995,261.70174165454955,
ML2899,21233.60703790135,72.1339500826507,
ML113,21213.569691491502,299.34543765980015,
ML2784,21212.8737994646,411.4553597482991,
ML2631,21212.214265238552,261.51782482284943,
ML1482,21149.0865637785,251.65066634260074,
ML443,21148.72509287405,69.36001350895094,
ML2568,21042.841564023947,505.77401871915026,
ML3622,20981.5421824425,90.5179413418009,
ML455,20964.55840058545,119.1661690546498,
ML286,20874.300304008648,435.34974901364876,
ML3101,20842.1075931229,47.26333963199977,
ML1984,20769.645627216698,447.9298095223003,
ML2812,20750.63825063825,423.0029230029504,
ML225,20657.9403584682,539.1080154043993,
ML2674,20654.2125269704,538.1262914811996,
ML2333,20592.35713732565,277.8757779546504,
ML3453,20568.5747214752,138.70337919765007,
ML760,20568.433624643447,580.6346983379499,
ML1952,20539.4112236033,246.54195365419946,
ML1596,20538.5203264018,340.75392342369923,
ML1125,20512.646843766597,357.3892573163994,
ML922,20505.8773175346,909.5330677250005,
ML17,20501.477528337702,230.22978873549982,
ML725,20461.8239452384,153.00426452650026,
ML1753,20450.24596615505,794.9921290830498,
ML1335,20419.00688246865,292.91862068545015,
ML3456,20404.1527623285,92.7112840958489,
ML2898,20362.598907990498,746.8538283278995,
ML2627,20360.59466138515,262.57392622965017,
ML1082,20230.233049404902,728.0840522702001,
ML1911,20208.99546621235,265.9523417208493,
ML3138,20118.98160925725,110.40282744424985,
ML1170,20099.1659134952,154.22241885599942,
ML2668,20098.24629848775,525.3415912546498,
ML2530,20073.7944394664,654.0536617994003,
